Season,Covid,State,WeekTime,Time,ElectricityDemand,RegionalReferencePrice
Autumn,No,New South Wales,Weekend,15:00:00,7456.854954128437,69.8219266055046
Autumn,No,New South Wales,Weekend,15:30:00,7575.105504587155,74.51155963302755
Autumn,No,New South Wales,Weekend,16:00:00,7717.115045871561,79.51311926605501
Autumn,No,New South Wales,Weekend,16:30:00,7862.093027522935,79.32045871559633
Autumn,No,New South Wales,Weekend,17:00:00,8061.330825688076,92.85036697247703
Autumn,No,New South Wales,Weekend,17:30:00,8238.481834862385,92.4566972477064
Autumn,No,New South Wales,Weekend,18:00:00,8464.98302752294,108.53541284403676
Autumn,No,New South Wales,Weekend,18:30:00,8501.874954128438,107.42889908256878
Autumn,No,New South Wales,Weekend,19:00:00,8404.76724770642,95.34871559633028
Autumn,No,New South Wales,Weekend,19:30:00,8226.098532110096,81.25357798165138
Autumn,No,New South Wales,Weekend,20:00:00,8039.986513761469,79.88302752293576
Autumn,No,New South Wales,Weekend,20:30:00,7888.861834862385,80.86788990825688
Autumn,No,New South Wales,Weekend,21:00:00,7726.161834862385,72.08568807339454
Autumn,No,New South Wales,Weekend,21:30:00,7583.691100917434,69.33165137614678
Autumn,No,New South Wales,Weekend,22:00:00,7442.523853211009,64.91018348623854
Autumn,No,New South Wales,Weekend,22:30:00,7406.722568807341,72.29119266055048
Autumn,No,New South Wales,Weekend,23:00:00,7237.659449541277,69.74816513761469
Autumn,No,New South Wales,Weekend,23:30:00,7123.0598165137635,68.39770642201836
Autumn,No,Queensland,Weekday,00:00:00,5781.343686131389,64.62058394160579
Autumn,No,Queensland,Weekday,00:30:00,5606.42762773723,58.48010948905113
Autumn,No,Queensland,Weekday,01:00:00,5478.321313868614,55.882080291970816
Autumn,No,Queensland,Weekday,01:30:00,5368.75941605839,54.72142335766422
Autumn,No,Queensland,Weekday,02:00:00,5306.462846715329,55.212737226277326
Autumn,No,Queensland,Weekday,02:30:00,5275.92397810219,52.39335766423359
Autumn,No,Queensland,Weekday,03:00:00,5253.98204379562,51.83620437956205
Autumn,No,Queensland,Weekday,03:30:00,5247.889051094894,51.335985401459865
Autumn,No,Queensland,Weekday,04:00:00,5253.466386861314,51.529160583941604
Autumn,No,Queensland,Weekday,04:30:00,5313.056751824818,53.20558394160581
Autumn,No,Queensland,Weekday,05:00:00,5393.365474452555,54.17843065693428
Autumn,No,Queensland,Weekday,05:30:00,5583.484160583944,62.31591240875909
Autumn,No,Queensland,Weekday,06:00:00,5786.036934306565,65.86547445255471
Autumn,No,Queensland,Weekday,06:30:00,6092.435656934311,92.83032846715324
Autumn,No,Queensland,Weekday,07:00:00,6371.922810218983,128.03354014598546
Autumn,No,Queensland,Weekday,07:30:00,6606.134999999997,83.51313868613144
Autumn,No,Queensland,Weekday,08:00:00,6604.965364963502,90.69010948905111
Autumn,No,Queensland,Weekday,08:30:00,6546.940291970803,77.42638686131389
