Covid,Electricity,Month,State,Value
No,Electricity Demand,8,South Australia,1387.633322
No,Regional Reference Price,8,South Australia,80.68658434
Yes,Electricity Demand,8,South Australia,1417.428864
Yes,Regional Reference Price,8,South Australia,45.57957661
No,Electricity Demand,8,Tasmania,1224.193624
No,Regional Reference Price,8,Tasmania,59.00149194
Yes,Electricity Demand,8,Tasmania,1190.085806
Yes,Regional Reference Price,8,Tasmania,55.77018817
No,Electricity Demand,8,Victoria,5372.597224
No,Regional Reference Price,8,Victoria,82.48441364
Yes,Electricity Demand,8,Victoria,5144.821163
Yes,Regional Reference Price,8,Victoria,53.70594758
No,Electricity Demand,9,New South Wales,7600.976618
No,Regional Reference Price,9,New South Wales,80.29940104
Yes,Electricity Demand,9,New South Wales,7255.074389
Yes,Regional Reference Price,9,New South Wales,40.99790278
No,Electricity Demand,9,Queensland,5808.262469
No,Regional Reference Price,9,Queensland,66.44918576
Yes,Electricity Demand,9,Queensland,5522.871674
Yes,Regional Reference Price,9,Queensland,27.37440972
No,Electricity Demand,9,South Australia,1232.8897
No,Regional Reference Price,9,South Australia,74.25364236
Yes,Electricity Demand,9,South Australia,1169.467882
Yes,Regional Reference Price,9,South Australia,15.22191667
No,Electricity Demand,9,Tasmania,1144.368028
No,Regional Reference Price,9,Tasmania,59.53278125
Yes,Electricity Demand,9,Tasmania,1130.636479
Yes,Regional Reference Price,9,Tasmania,37.51609028
No,Electricity Demand,9,Victoria,4945.486885
No,Regional Reference Price,9,Victoria,79.52900347
Yes,Electricity Demand,9,Victoria,4521.474896
Yes,Regional Reference Price,9,Victoria,34.663875
No,Electricity Demand,10,New South Wales,7278.328058
No,Regional Reference Price,10,New South Wales,81.8591045
Yes,Electricity Demand,10,New South Wales,6955.870249
Yes,Regional Reference Price,10,New South Wales,57.86929435
No,Electricity Demand,10,Queensland,5916.36723
No,Regional Reference Price,10,Queensland,71.10950437
Yes,Electricity Demand,10,Queensland,5673.882843
Yes,Regional Reference Price,10,Queensland,35.2086828
No,Electricity Demand,10,South Australia,1111.599372
No,Regional Reference Price,10,South Australia,73.52338542
Yes,Electricity Demand,10,South Australia,1095.345282
Yes,Regional Reference Price,10,South Australia,32.96660618
No,Electricity Demand,10,Tasmania,1067.009115
No,Regional Reference Price,10,Tasmania,76.23039315
Yes,Electricity Demand,10,Tasmania,1087.298797
Yes,Regional Reference Price,10,Tasmania,41.50457661
No,Electricity Demand,10,Victoria,4640.04975
No,Regional Reference Price,10,Victoria,76.76429772
Yes,Electricity Demand,10,Victoria,4380.116411
Yes,Regional Reference Price,10,Victoria,44.77565188
No,Electricity Demand,11,New South Wales,7496.574373
No,Regional Reference Price,11,New South Wales,79.45915278
Yes,Electricity Demand,11,New South Wales,6783.966392
Yes,Regional Reference Price,11,New South Wales,45.89298969
No,Electricity Demand,11,Queensland,6251.487155
No,Regional Reference Price,11,Queensland,71.18258854
Yes,Electricity Demand,11,Queensland,5781.86732
Yes,Regional Reference Price,11,Queensland,42.58845361
No,Electricity Demand,11,South Australia,1192.844191
No,Regional Reference Price,11,South Australia,75.55271181
